ymd,vax,vax_lb,vax_ub
2021-03-23,0.36784905986571204,0.3604920786683978,0.3752060410630263
2021-03-24,0.3764442974823427,0.36891541153269586,0.38397318343198955
2021-03-25,0.3852718235454313,0.37756638707452267,0.39297726001634
2021-03-26,0.39347841905811864,0.38560885067695627,0.401347987439281
2021-03-27,0.39879104336846166,0.3908152225010924,0.4067668642358309
2021-03-28,0.40139097951477243,0.39336315992447696,0.4094187991050679
2021-03-29,0.4076330342673568,0.39948037358200966,0.41578569495270395
2021-03-30,0.41543242835197836,0.4071237797849388,0.4237410769190179
2021-03-31,0.4247274389858133,0.416232890206097,0.43322198776552956
2021-04-01,0.43444138518426,0.4257525574805748,0.44313021288794524
2021-04-02,0.4423533405941981,0.43350627378231416,0.4512004074060821
2021-04-03,0.44742246395093777,0.438474014671919,0.45637091322995654
2021-04-04,0.4490859288439089,0.4401042102670307,0.4580676474207871
2021-04-05,0.45572184445638664,0.4466074075672589,0.46483628134551436
2021-04-06,0.46449952168615066,0.45520953125242763,0.4737895121198737
2021-04-07,0.47429062627449187,0.464804813749002,0.4837764387999817
2021-04-08,0.484098325987409,0.4744163594676608,0.49378029250715716
2021-04-09,0.49340661709163786,0.4835384847498051,0.5032747494334706
2021-04-10,0.49990389774269756,0.4899058197878436,0.5099019756975515
2021-04-11,0.5030417769062581,0.4929809413681329,0.5131026124443833
2021-04-12,0.509244268880462,0.4990593835028528,0.5194291542580712
2021-04-13,0.5158314834367337,0.505514853767999,0.5261481131054684
2021-04-14,0.5223660206078324,0.5119187001956758,0.5328133410199891
2021-04-15,0.5289595288020407,0.5183803382259998,0.5395387193780815
2021-04-16,0.5350717650791097,0.5243703297775275,0.5457732003806919
2021-04-17,0.539327880248644,0.528541322643671,0.5501144378536169
2021-04-18,0.541291279371781,0.5304654537843454,0.5521171049592166
2021-04-19,0.5453276195233018,0.5344210671328358,0.5562341719137678
2021-04-20,0.5504665041324055,0.5394571740497573,0.5614758342150536
2021-04-21,0.5555963588053652,0.5444844316292579,0.5667082859814725
2021-04-22,0.5608280444785806,0.549611483589009,0.5720446053681522
