"dgm","model","est","posrate","bias"
"constant","unbiased",0.493846303292176,0.565731311474212,-0.0718850081820359
"linear","const",0.0379340144219475,0.0392314740917473,-0.00129745966979976
"linear","linear",0.0297918421624302,0.0392314740917473,-0.00943963192931706
"linear","walk",0.0343279991653835,0.0392314740917473,-0.0049034749263638
"linear","unbiased",0.0229429201538169,0.0392314740917473,-0.0162885539379304
"walk","const",0.42706511891785,0.412987614380347,0.0140775045375024
"walk","linear",0.471064641114476,0.412987614380347,0.0580770267341286
"walk","walk",0.442253475454281,0.412987614380347,0.0292658610739338
"walk","unbiased",0.497861296267803,0.412987614380347,0.0848736818874559
"constant","const",0.111197115395127,0.0895601509300299,0.0216369644650972
"constant","linear",0.106742438506007,0.0895601509300299,0.0171822875759768
"constant","walk",0.113296780730147,0.0895601509300299,0.0237366298001173
"constant","unbiased",0.128209651503915,0.0895601509300299,0.0386495005738853
"linear","const",0.956427437862142,0.949588859680507,0.00683857818163436
"linear","linear",0.929942461079983,0.949588859680507,-0.0196463986005242
"linear","walk",0.936246288258639,0.949588859680507,-0.0133425714218683
"linear","unbiased",0.907697626661558,0.949588859680507,-0.0418912330189497
"walk","const",0.155925566653719,0.142209543670118,0.0137160229836009
"walk","linear",0.17450507879894,0.142209543670118,0.0322955351288227
"walk","walk",0.155416931613115,0.142209543670118,0.0132073879429974
"walk","unbiased",0.147707131536126,0.142209543670118,0.00549758786600796
"constant","const",0.407889389500222,0.398443978467235,0.00944541103298707
"constant","linear",0.459449859071659,0.398443978467235,0.061005880604424
"constant","walk",0.429031937347358,0.398443978467235,0.0305879588801226
"constant","unbiased",0.490060908720704,0.398443978467235,0.0916169302534692
"linear","const",0.355711703272366,0.287458648036958,0.0682530552354073
"linear","linear",0.315524496367657,0.287458648036958,0.0280658483306984
"linear","walk",0.339565405929825,0.287458648036958,0.0521067578928669
"linear","unbiased",0.318485686391576,0.287458648036958,0.0310270383546171
"walk","const",0.0696211957985074,0.0174087164505875,0.0522124793479199
"walk","linear",0.035916415404434,0.0174087164505875,0.0185076989538465
"walk","walk",0.0407324369082106,0.0174087164505875,0.0233237204576231
"walk","unbiased",0.0348083465337673,0.0174087164505875,0.0173996300831798
"constant","const",0.795420298213745,0.791273497407151,0.00414680080659413
"constant","linear",0.782241754596802,0.791273497407151,-0.00903174281034902
"constant","walk",0.794808830053921,0.791273497407151,0.00353533264676942
"constant","unbiased",0.809982282866559,0.791273497407151,0.0187087854594081
"linear","const",0.314066870482185,0.27386645583372,0.0402004146484645
"linear","linear",0.256119029661685,0.27386645583372,-0.0177474261720352
"linear","walk",0.291970935749654,0.27386645583372,0.0181044799159332
"linear","unbiased",0.270929157118275,0.27386645583372,-0.0029372987154459
"walk","const",0.345117159050088,0.436075725657532,-0.0909585666074436
"walk","linear",0.424091613071294,0.436075725657532,-0.0119841125862378
"walk","walk",0.399148680104943,0.436075725657532,-0.0369270455525887
"walk","unbiased",0.423898542472988,0.436075725657532,-0.0121771831845433
"constant","const",0.976083829994738,0.974412418688079,0.00167141130665927
"constant","linear",0.97025674449121,0.974412418688079,-0.00415567419686913
"constant","walk",0.97457525093618,0.974412418688079,0.000162832248101763
"constant","unbiased",0.969079322662184,0.974412418688079,-0.00533309602589471
"linear","const",0.592239527186066,0.56547144900517,0.0267680781808957
"linear","linear",0.53587468758572,0.56547144900517,-0.0295967614194503
"linear","walk",0.577078737576763,0.56547144900517,0.0116072885715932
"linear","unbiased",0.585648585724698,0.56547144900517,0.0201771367195283
"walk","const",0.905058570257728,0.903648838474807,0.00140973178292125
"walk","linear",0.910802944665874,0.903648838474807,0.00715410619106693
"walk","walk",0.906469044036645,0.903648838474807,0.00282020556183793
"walk","unbiased",0.903232518118369,0.903648838474807,-0.000416320356438349
"constant","const",0.735449586063811,0.7724561620286,-0.0370065759647898
"constant","linear",0.729835563273463,0.7724561620286,-0.0426205987551377
"constant","walk",0.735980409101339,0.7724561620286,-0.0364757529272618
"constant","unbiased",0.73995929686153,0.7724561620286,-0.0324968651670702
"linear","const",0.926784919189258,0.917468699632056,0.00931621955720152
"linear","linear",0.917170174683047,0.917468699632056,-0.000298524949009171
"linear","walk",0.921100006222281,0.917468699632056,0.00363130659022448
"linear","unbiased",0.915304020307171,0.917468699632056,-0.00216467932488473
"walk","const",0.122146424841775,0.201434752193832,-0.0792883273520569
"walk","linear",0.150398162822161,0.201434752193832,-0.0510365893716713
"walk","walk",0.152390048386273,0.201434752193832,-0.0490447038075593
"walk","unbiased",0.164525898235293,0.201434752193832,-0.0369088539585388
"constant","const",0.362429442225971,0.357877303767888,0.00455213845808267
"constant","linear",0.325605752105249,0.357877303767888,-0.0322715516626395
"constant","walk",0.354841112586639,0.357877303767888,-0.00303619118124965
"constant","unbiased",0.316394267099939,0.357877303767888,-0.0414830366679491
"linear","const",0.145631096118487,0.164471688113474,-0.0188405919949872
"linear","linear",0.162774877444678,0.164471688113474,-0.00169681066879551
"linear","walk",0.178588897654086,0.164471688113474,0.0141172095406126
"linear","unbiased",0.224028493383881,0.164471688113474,0.0595568052704075
"walk","const",0.0494414808765151,0.0622642256092682,-0.0128227447327531
"walk","linear",0.0549909042399096,0.0622642256092682,-0.00727332136935863
"walk","walk",0.0539078523417183,0.0622642256092682,-0.00835637326754993
"walk","unbiased",0.0514146443533723,0.0622642256092682,-0.0108495812558958
"constant","const",0.243544321199025,0.243588517295606,-4.41960965807953e-05
"constant","linear",0.256693748328154,0.243588517295606,0.0131052310325479
"constant","walk",0.248077705042058,0.243588517295606,0.00448918774645213
"constant","unbiased",0.273769956321506,0.243588517295606,0.0301814390259006
"linear","const",0.711064528282646,0.716452375732682,-0.00538784745003551
"linear","linear",0.679990747585887,0.716452375732682,-0.0364616281467947
"linear","walk",0.697131957658774,0.716452375732682,-0.0193204180739075
"linear","unbiased",0.65171819783928,0.716452375732682,-0.0647341778934021
"walk","const",0.610990198125867,0.645111745687075,-0.0341215475612081
"walk","linear",0.557590923872996,0.645111745687075,-0.0875208218140782
"walk","walk",0.58813762431981,0.645111745687075,-0.0569741213672649
"walk","unbiased",0.574651572992998,0.645111745687075,-0.0704601726940771
"constant","const",0.957149845706166,0.958284310856458,-0.00113446515029259
"constant","linear",0.953550146603904,0.958284310856458,-0.00473416425255435
"constant","walk",0.956581657457041,0.958284310856458,-0.00170265339941766
"constant","unbiased",0.950938506025091,0.958284310856458,-0.00734580483136738
"linear","const",0.862352584676731,0.860873835234231,0.00147874944249959
"linear","linear",0.871440386183199,0.860873835234231,0.0105665509489684
"linear","walk",0.864057940451565,0.860873835234231,0.00318410521733359
"linear","unbiased",0.873300916597551,0.860873835234231,0.0124270813633204
"walk","const",0.661056976299426,0.680962752884274,-0.0199057765848482
"walk","linear",0.669055973540209,0.680962752884274,-0.0119067793440648
"walk","walk",0.6716361764878,0.680962752884274,-0.00932657639647361
"walk","unbiased",0.701241825056178,0.680962752884274,0.0202790721719046
"constant","const",0.413575456993233,0.442446028611309,-0.0288705716180761
"constant","linear",0.446355640434754,0.442446028611309,0.00390961182344407
"constant","walk",0.43929473054524,0.442446028611309,-0.00315129806606934
"constant","unbiased",0.467800469662491,0.442446028611309,0.0253544410511815
"linear","const",0.607586278565042,0.609495600254437,-0.00190932168939528
"linear","linear",0.555763881408684,0.609495600254437,-0.0537317188457532
"linear","walk",0.558959024375143,0.609495600254437,-0.0505365758792942
"linear","unbiased",0.515367404560775,0.609495600254437,-0.0941281956936619
"walk","const",0.786462651711854,0.755310125996594,0.0311525257152603
"walk","linear",0.822082015358937,0.755310125996594,0.0667718893623426
